Time (s),x (m),y (m),z (m),vx (m/s),vy (m/s),vz (m/s),B_North (nT),B_East (nT),B_Down (nT),RollTorque (Nm),PitchTorque (Nm),YawTorque (Nm),OmegaX (rad/s),OmegaY (rad/s),OmegaZ (rad/s),Power (Watt)
230,-6.565266552634765,-0.671015246734708,1.3219844383329522,0.0016596891565221234,-0.004733528630616478,0.005841216952449095,2.516933376766872e-05,4.845681407884237e-06,7.77890513561004e-06,-8.35038582523259e-06,7.720177831415958e-06,-6.302079938166312e-07,0.19934110694621743,0.09953270593477442,0.2993411069462176,0
240,-6.548240382811059,-0.7183055882945144,1.380308562933439,0.0017455072834216413,-0.0047244365629138365,0.0058234804472944955,2.512654944005569e-05,4.853909037700555e-06,8.294152528632476e-06,-9.320906159910746e-07,-9.101812092296353e-06,-9.320906159910746e-07,0.1993630616856564,0.09951450836444643,0.29936306168565663,0
250,-6.5303571762751,-0.7655019177179041,1.4384515008988754,0.0018310946187836013,-0.004714726415432013,0.0058049800315474005,2.508118803746682e-05,4.861900168025437e-06,8.80831003238093e-06,4.2447732916281505e-06,4.2447732916281505e-06,-7.0308847477884874e-06,0.19931871671560034,0.09951482407498669,0.29931871671560056,0
260,-6.511619297292529,-0.8125980607071699,1.4964056254762441,0.0019164398981479712,-0.0047043995018922775,0.00578571819274168,2.503325918049227e-05,4.869652687133494e-06,9.321310437614852e-06,-6.247820582161902e-06,-6.247820582161902e-06,2.5039051226488273e-06,0.1993306772648032,0.09945273891422526,0.2993306772648035,0
270,-6.492029222603196,-0.8595878565125709,1.5541633352957596,0.002001531891392362,-0.004693457218128557,0.005765697519921759,2.4982773125504835e-05,4.877164301472288e-06,9.833086684623925e-06,5.035877160622569e-06,-5.118005459755382e-06,-5.118005459755382e-06,0.1993188132933807,0.09947059901284382,0.299318813293381,0
280,-6.47158954107003,-0.9064651587522947,1.6117170553839189,0.0020863594042804415,-0.004681901041852358,0.005744920703230072,2.492974076941694e-05,4.884432531843791e-06,1.034357187183292e-05,-5.798301005994189e-06,0.0,2.3082080245974188e-06,0.1993005865435582,0.09940316782915705,0.2993005865435585,0
290,-6.4503029533124705,-0.953223836230006,1.669059238172359,0.0021709112800025144,-0.004669732532405267,0.005723390533479317,2.48741736547666e-05,4.89145470939909e-06,1.0852699264391905e-05,-5.270612838257473e-07,-9.363898698364718e-06,-5.270612838257473e-07,0.1993160306200568,0.09939532080932198,0.2993160306200571,0
300,-6.428172271324534,-0.9998577737498575,1.7261823645023553,0.0022551764007079753,-0.004656953330499126,0.005701109901709635,2.4816083975144334e-05,4.898227971443515e-06,1.1360402302750984e-05,0.0,4.7121728090931875e-06,-2.844779113276886e-06,0.19927339758644658,0.09937709197685311,0.29927339758644694,0
310,-6.405200418077592,-1.0463608729288445,1.7830789446248203,0.002339143689029357,-0.004643565157943969,0.005678081798730898,2.4755484580973786e-05,4.904749257049477e-06,1.1866614611218738e-05,-6.169283117991124e-06,-8.835978751450922e-06,2.6666956334597965e-06,0.19929320485324648,0.09932092579092344,0.2992932048532469,0
320,-6.3813904271079585,-1.0927270530063726,1.839741519195653,0.002422802109597692,-0.004629569817363863,0.005654309314650222,2.4692388985659364e-05,4.911015302474472e-06,1.2371270006503457e-05,4.225229421168047e-06,0.0,-5.0288688722721805e-06,0.1992789850144336,0.09933095454623789,0.29927898501443406,0
330,-6.356745442089361,-1.1389502516509311,1.8961626602662842,0.0025061406705489293,-0.00461496919190071,0.005629795638384893,2.462681137211469e-05,4.917022636381794e-06,1.2874302506236117e-05,-6.124952537260833e-06,0.0,2.200001393493276e-06,0.1992671900231531,0.09925747788767282,0.2992671900231536,0
340,-6.331268716390408,-1.185024425763737,1.952334972269287,0.002589148425021125,-0.004599765244906163,0.00560454405716087,2.4558766599686672e-05,4.922767574861796e-06,1.3375646337474395e-05,4.612061533607134e-06,-9.577103976445692e-06,-4.965042442838558e-06,0.19928308721716004,0.09925909976669557,0.2992830872171605,0
350,-6.304963612617105,-1.2309435522792462,2.008251092998893,0.002671814472642158,-0.004583960019621754,0.005578557955997002,2.4488270211490864e-05,4.9282462162518335e-06,1.3875235945186808e-05,-3.0214496051125544e-06,8.444512238808523e-06,-3.0214496051125544e-06,0.1992385568313338,0.09922629497645219,0.2992385568313344,0
360,-6.277833602140576,-1.276701628962402,2.063903694586285,0.0027541279610077143,-0.0045675556388473475,0.005551840817175154,2.4415338442173574e-05,4.9334544357530956e-06,1.4373006000715695e-05,-6.581273026428858e-06,-9.136582428635442e-06,2.5553094022065832e-06,0.19925766312815452,0.09918288134916844,0.29925766312815516,0
370,-6.2498822646100205,-1.3222926752025137,2.1192854844695206,0.0028360780871492953,-0.004550554304598046,0.0055243962196964225,2.4339988226118157e-05,4.938387879843186e-06,1.4868891410218635e-05,4.145800633747575e-06,0.0,-5.031047851591342e-06,0.19923078804255007,0.09918923554125014,0.2992307880425508,0
380,-6.22111328745107,-1.3677107328036435,2.1743892063579437,0.0029176540989920047,-0.004532958297749673,0.005496227838723573,2.426223720611285e-05,4.943041960483507e-06,1.5362827323086977e-05,-6.459370654009781e-06,0.0,1.9101223087126645e-06,0.19922089081771122,0.09912112001910374,0.29922089081771186,0
390,-6.1915304653496,-1.4129498667713982,2.2292076411909645,0.002998845296801872,-0.00451476997767294,0.00546733944500993,2.4182103742498072e-05,4.947411849120934e-06,1.585474914034058e-05,4.3379142580701e-06,-9.733213208183669e-06,-5.395298950113569e-06,0.1992268377146753,0.09912408161113112,0.2992268377146759,0
400,-6.161137699721132,-1.4580041660959984,2.2837336080910453,0.0030796410346225016,-0.004495991781856454,0.005437734904314859,2.4099606922812772e-05,4.951492470484026e-06,1.634459252299792e-05,-3.345086192551251e-06,8.21949742022145e-06,-3.345086192551251e-06,0.19918185199988225,0.09909146198291524,0.2991818519998829,0
410,-6.129938998165916,-1.5028677445315293,2.337959965310792,0.0031600307217008053,-0.0044766262255186645,0.0054074181768060375,2.401476657195907e-05,4.9552784961743504e-06,1.683229340042061e-05,-1.0940458837871432e-06,-9.313525656786042e-06,-1.0940458837871432e-06,0.19920626371614866,0.09905465139623897,0.2992062637161493,0
420,-6.097938473909821,-1.5475347413712506,2.3918796111739833,0.0032400038239016092,-0.004456675901208911,0.005376393316448719,2.3927603262905724e-05,4.958764338054298e-06,1.7317787978631052e-05,3.905290206026091e-06,3.905290206026091e-06,-7.819422220217111e-06,0.19916245087793333,0.09906683948134748,0.29916245087793397,0
430,-6.065140345231124,-1.5919993222188678,2.445485485010452,0.003319549865110926,-0.004436143478397672,0.005344664470382137,2.3838138327951478e-05,4.961944141433565e-06,1.780101274860266e-05,-6.781553546837278e-06,-6.781553546837278e-06,2.4841693854300108e-06,0.19915330001508236,0.0989905405405592,0.29915330001508295,0
440,-6.031548934873332,-1.6362556797556491,2.4987705680846406,0.0033986584286276778,-0.004415031703056186,0.0053122358782832675,2.3746393870570317e-05,4.964811778057259e-06,1.8281904494521392e-05,3.831663134609147e-06,-9.822385342155129e-06,-5.990722207545983e-06,0.19914314802536115,0.09901020737641804,0.2991431480253617,0
450,-5.9971686694441475,-1.6802980345032894,2.5517278845177582,0.0034773191585436855,-0.004393343397225552,0.0052791118717181425,2.3652392777860278e-05,4.967360838899487e-06,1.876040030201747e-05,-9.259818545254719e-06,7.86216247296256e-06,-1.3976560722921566e-06,0.19909268954735027,0.09896656410882894,0.2990926895473507,0
460,-5.962004078800679,-1.7241206355824081,2.6043505022033666,0.003555521761111712,-0.00437108145857547,0.0052452968734808736,2.355615873361987e-05,4.969584626767592e-06,1.9236437566366702e-05,-1.7723403693198597e-06,-9.356550654122816e-06,-1.7723403693198597e-06,0.19910847294844286,0.09893585847654188,0.2991084729484434,0
470,-5.92605979542105,-1.7677177614665873,2.6566315337163116,0.003633256006101399,-0.004348248859952745,0.005210795396920623,2.345771623207455e-05,4.971476148723019e-06,1.9709954000659896e-05,3.519047340703314e-06,3.519047340703314e-06,-8.534112126079715e-06,0.19905059427793062,0.09894789890115806,0.29905059427793107,0
480,-5.889340553762502,-1.8110837207318449,2.7085641372148577,0.003710511728142888,-0.0043248486489197106,0.005175612045256688,2.3357090592278213e-05,4.9730281083264825e-06,2.0180887643939647e-05,-7.071462183491804e-06,-7.071462183491804e-06,1.642990558369932e-06,0.19903576619538813,0.09887386545338274,0.2990357661953885,0
